,Name,Age,Gender,Admission Test Score,High School Percentage,City,Admission Status,Binned_admission_Test_score,Accepted,Rejected
43,Waqar,21.0,Female,99.0,60.73,Karachi,Accepted,high score,1,0
44,Maham,19.0,Female,52.0,78.67,Multan,Accepted,average score,1,0
45,Qasim,17.0,Female,95.0,68.89,Quetta,Rejected,average score,0,1
46,Mehwish,24.0,Female,84.0,94.33,Multan,Accepted,average score,1,0
47,Maryam,19.0,Female,74.0,110.5,Lahore,Accepted,average score,1,0
48,Rohail,23.0,Female,77.63970588235294,75.05,Quetta,Accepted,average score,1,0
49,Zara,18.0,Female,68.0,65.57,Karachi,Rejected,average score,0,1
51,Fatima,20.0,Male,73.0,62.5,Karachi,Rejected,average score,0,1
52,Ahmed,21.0,Male,62.0,79.03,Karachi,Accepted,average score,1,0
53,Afshan,23.0,,98.0,76.97,Karachi,Rejected,average score,0,1
54,Shehroz,22.0,Female,72.0,97.84,Lahore,Rejected,average score,0,1
55,Sara,19.0,Male,68.0,93.16,Multan,Accepted,average score,1,0
56,Zara,18.0,Male,52.0,91.02,Multan,Accepted,average score,1,0
57,Hafsa,23.0,Female,79.0,52.39,Karachi,Accepted,average score,1,0
58,Adeel,20.0,Female,70.0,93.36,Lahore,Accepted,average score,1,0
59,Bilal,23.0,Female,97.0,70.9,Peshawar,Rejected,average score,0,1
60,Rohail,19.0,Female,54.0,52.79,Quetta,Accepted,average score,1,0
61,Hamza,22.0,Male,99.0,86.58,Multan,Accepted,high score,1,0
62,Fahad,23.0,Male,93.0,90.35,Peshawar,Accepted,average score,1,0
63,Farhan,20.0,Female,75.0,79.59,Rawalpindi,Accepted,average score,1,0
64,Shoaib,23.0,Male,97.0,54.71,Karachi,Rejected,average score,0,1
66,Hassan,24.0,Female,79.0,75.67,Karachi,Rejected,average score,0,1
68,Maryam,22.0,Female,77.63970588235294,69.83,Karachi,Rejected,average score,0,1
69,Tuba,17.0,Female,75.0,78.43,Peshawar,Accepted,average score,1,0
70,Hafsa,17.0,Male,73.0,63.7,Rawalpindi,Accepted,average score,1,0
71,Laiba,20.0,Male,77.0,52.67,Islamabad,Rejected,average score,0,1
73,Shafiq,18.0,,80.0,81.3,Quetta,Accepted,average score,1,0
74,Afshan,23.0,Female,98.0,75.0146715328467,Peshawar,Rejected,average score,0,1
75,Kamran,21.0,Male,73.0,96.67,Peshawar,Rejected,average score,0,1
76,Sajjad,19.773722627737225,,90.0,63.04,Quetta,Accepted,average score,1,0
77,Tuba,18.0,Female,89.0,71.3,Karachi,Accepted,average score,1,0
78,Kashif,20.0,Female,91.0,91.03,Karachi,Accepted,average score,1,0
79,Muneera,19.0,Female,81.0,67.75,Karachi,Rejected,average score,0,1
80,Mehwish,18.0,Female,72.0,67.51,Quetta,Accepted,average score,1,0
81,Lubna,19.773722627737225,Female,89.0,82.57,Multan,Rejected,average score,0,1
82,Muzammil,24.0,Female,97.0,62.68,Lahore,Accepted,average score,1,0
83,Muzammil,20.0,Male,96.0,51.95,Peshawar,Rejected,average score,0,1
84,Maryam,19.773722627737225,Female,99.0,94.59,Islamabad,Accepted,high score,1,0
85,Maham,22.0,Female,88.0,98.38,Peshawar,Rejected,average score,0,1
86,Uzma,22.0,Male,69.0,83.99,Quetta,Accepted,average score,1,0
87,Laiba,19.773722627737225,Female,81.0,81.82,Rawalpindi,Accepted,average score,1,0
88,Aliya,17.0,Male,55.0,85.29,Karachi,Rejected,average score,0,1
90,Maryam,17.0,Male,78.0,77.4,Quetta,Accepted,average score,1,0
91,Umar,22.0,Male,150.0,77.69,Karachi,Rejected,high score,0,1
93,Rehan,22.0,Male,51.0,67.03,Lahore,Rejected,average score,0,1
94,Farzana,22.0,Male,82.0,78.3,Multan,Accepted,average score,1,0
95,Nida,18.0,,84.0,91.92,Quetta,Rejected,average score,0,1
96,Muneera,19.0,Female,77.63970588235294,67.75,Karachi,Rejected,average score,0,1
97,Rohail,20.0,Female,72.0,66.83,Multan,Rejected,average score,0,1
98,Shehroz,23.0,Female,82.0,83.86,Karachi,Rejected,average score,0,1
99,Imran,19.0,Female,72.0,64.88,Multan,Accepted,average score,1,0
100,Farhan,22.0,Female,65.0,76.72,Multan,Rejected,average score,0,1
101,Shehroz,24.0,Male,72.0,90.05,Karachi,Accepted,average score,1,0
102,Asma,22.0,Female,81.0,68.86,Islamabad,Accepted,average score,1,0
103,Tariq,19.0,Female,96.0,40.7,Rawalpindi,Rejected,average score,0,1
104,Sara,22.0,,95.0,60.33,Islamabad,Rejected,average score,0,1
105,Junaid,17.0,Male,56.0,93.36,Karachi,Rejected,average score,0,1
106,Mehwish,21.0,Female,91.0,57.33,Rawalpindi,Accepted,average score,1,0
107,Zunaira,20.0,Female,98.0,54.59,Quetta,Accepted,average score,1,0
108,Hania,24.0,Female,83.0,97.93,Quetta,Rejected,average score,0,1
109,Mehwish,18.0,Female,72.0,67.51,Karachi,Accepted,average score,1,0
110,Hamza,22.0,Male,99.0,86.58,Multan,Accepted,high score,1,0
111,Adeel,24.0,Male,71.0,74.65,Lahore,Accepted,average score,1,0
112,Tariq,17.0,Female,82.0,67.09,Peshawar,Accepted,average score,1,0
114,Qasim,17.0,,92.0,51.96,Lahore,Accepted,average score,1,0
115,Maham,23.0,Male,94.0,87.05,Karachi,Rejected,average score,0,1
116,Aqsa,23.0,Female,77.63970588235294,86.5,Quetta,Accepted,average score,1,0
117,Daniyal,24.0,Female,77.0,67.32,Quetta,Rejected,average score,0,1
118,Lubna,22.0,Male,74.0,90.56,Rawalpindi,Accepted,average score,1,0
119,Junaid,23.0,Female,94.0,61.93,Peshawar,Accepted,average score,1,0
120,Ayesha,24.0,Male,94.0,98.43,Multan,Rejected,average score,0,1
121,Muneera,23.0,Male,77.0,57.93,Karachi,Rejected,average score,0,1
122,Tuba,17.0,Female,75.0,78.43,Peshawar,Accepted,average score,1,0
123,Bushra,18.0,Female,93.0,99.8,Islamabad,Rejected,average score,0,1
124,Hania,19.773722627737225,Female,83.0,71.78,Islamabad,Accepted,average score,1,0
125,Hania,18.0,Female,77.63970588235294,61.83,Karachi,Accepted,average score,1,0
126,Feroze,17.0,Male,91.0,71.17,Karachi,Rejected,average score,0,1
127,Hassan,24.0,,79.0,75.67,Karachi,Accepted,average score,1,0
128,Zunaira,19.0,Female,75.0,63.03,Peshawar,Rejected,average score,0,1
129,Aliya,19.0,Male,79.0,91.85,Islamabad,Rejected,average score,0,1
130,Asad,20.0,Female,51.0,75.0146715328467,Peshawar,Rejected,average score,0,1
131,Shafiq,17.0,Male,78.0,82.49,Quetta,Rejected,average score,0,1
132,Maaz,20.0,Male,58.0,96.83,Peshawar,Accepted,average score,1,0
133,Ali,20.0,Male,71.0,80.91,Lahore,Rejected,average score,0,1
134,Shahzad,24.0,Female,74.0,74.13,Multan,Rejected,average score,0,1
135,Hafsa,19.773722627737225,Male,55.0,97.46,Quetta,Rejected,average score,0,1
136,Asad,19.773722627737225,Female,82.0,67.42,Lahore,Accepted,average score,1,0
137,Asad,21.0,Male,77.63970588235294,97.21,Karachi,Rejected,average score,0,1
138,Qasim,23.0,Female,83.0,66.51,Quetta,Accepted,average score,1,0
139,Shehroz,19.0,Male,77.63970588235294,56.43,Rawalpindi,Rejected,average score,0,1
140,Feroze,23.0,Female,51.0,92.36,Rawalpindi,Accepted,average score,1,0
141,Laiba,21.0,Female,76.0,75.0146715328467,Karachi,Rejected,average score,0,1
142,Sana,22.0,Female,91.0,84.08,Quetta,Rejected,average score,0,1
143,Zarina,19.0,Female,81.0,71.72,Quetta,Rejected,average score,0,1
144,Sana,21.0,Female,53.0,75.0146715328467,Rawalpindi,Rejected,average score,0,1
146,Nimra,17.0,Female,68.0,61.66,Karachi,Rejected,average score,0,1
147,Hammad,24.0,Female,71.0,83.84,Lahore,Accepted,average score,1,0
150,Nashit,19.773722627737225,Male,89.0,84.64,Lahore,Accepted,average score,1,0
151,Asad,20.0,Female,95.0,52.4,Rawalpindi,Rejected,average score,0,1
152,Ali,19.0,Female,85.0,78.09,Quetta,Accepted,average score,1,0
153,Bilal,17.0,Female,81.0,84.4,Islamabad,Rejected,average score,0,1
154,Fatima,21.0,Female,98.0,50.86,Multan,Accepted,average score,1,0
156,Maaz,17.0,Male,88.0,86.85,Lahore,Accepted,average score,1,0
